"ID","Application","BAC Type","Endpoint / Operation","Operation Type","Expected Authorization Requirement","Unauthorized Test Case","Supporting Evidence"
"GT-001","AWCMs","VPE","m_cp_avatar.php?KeepThis=true&TB_iframe=true&height=p1&width=p1","Resource Access","Only an authenticated member may open the member avatar control.","Request m_cp_avatar.php?KeepThis=true&TB_iframe=true&height=400&width=500 as a visitor without an authenticated member session.","runs/awcm/analysis/findings.json records the normalized page m_cp_avatar.php?KeepThis=true&TB_iframe=true&height=p1&width=p1 as vulnerable for a visitor. Manual verification (evidence: ground_truth/audit/awcm/evidence/GT-001.json): as visitor, GET m_cp_avatar.php?KeepThis=true&TB_iframe=true&height=400&width=500 returned HTTP 200 and exposed the member avatar update form. The archived response body preserves the observed protected content."
"GT-002","AWCMs","VPE","member.php?id=1 (administrator profile)","Resource Access","An ordinary member must not obtain administrator-only profile information when the selected id identifies the administrator.","Log in as user1 and request member.php?id=1.","The AWCM run records member.php?id=p1 as accessible to user1 with HTTP 200 and no denial evidence. Manual verification with marker token (evidence: ground_truth/audit/awcm/evidence/GT-002.json): logged in as user1, GET member.php?id=1 returned HTTP 200 and the response contained the token inserted into the administrator (id=1) title field, confirming user1 obtained administrator profile data. Database restored to its baseline after the record."
"GT-003","AWCMs","HPE","member.php?id=3 (another member profile)","Resource Access","A member may view only profile data permitted by the application and must not obtain another member's protected profile by changing id.","Log in as user1 and replace the profile id with the database id of user2.","runs/awcm/analysis/findings.json records HTTP 200 without redirect or denial and horizontal override id=3. Manual verification with marker token (evidence: ground_truth/audit/awcm/evidence/GT-003.json): logged in as user1, GET member.php?id=3 returned HTTP 200 and the response contained the token inserted into user2's (id=3) signature field, confirming user1 obtained another member's protected profile data. Database restored to its baseline after the record."
"GT-004","AWCMs","VPE","install/index.php","Resource Access / Administrative Action","The installation interface must be unavailable after deployment or restricted to an administrator.","Request install/index.php as visitor.","runs/awcm/analysis/findings.json records HTTP 200 without redirect or denial marker for the installation entry point. Manual verification (evidence: ground_truth/audit/awcm/evidence/GT-004.json): as visitor, GET install/index.php returned HTTP 200 with the language-selection installer form and GET install/step1.php?lang=en.php returned HTTP 200 with the next installer step; both response bodies are archived in the evidence directory. Database restored to its baseline after the record."
"GT-005","AWCMs","VPE","control/db_backup.php","Resource Access","Only an administrator may invoke database backup and receive the SQL dump.","Request control/db_backup.php as visitor without control-panel authentication.","runs/awcm/analysis/findings.json records HTTP 200 without redirect or denial for the database-backup endpoint. Manual verification with marker token (evidence: ground_truth/audit/awcm/evidence/GT-005.json): as visitor, GET control/db_backup.php returned HTTP 200 with a Content-Disposition SQL attachment, and the dump exposed the instrumented awcm_members marker-row token plus the full table data. Database restored to its baseline after the record."
"GT-006","Phpoll","VPE","admin/modifica_band.php","Update","Only an authenticated poll administrator may modify candidate or band data.","Submit the modifica_band form as visitor without an administrator session.","runs/phpoll/analysis/findings.json records a visitor POST receiving HTTP 200 without redirect or denial. Manual verification with marker tokens (evidence: ground_truth/audit/phpoll/evidence/GT-006.json): as visitor, POST admin/modifica_band.php returned HTTP 200 and changed band row id=69 nome_band from token1 to token2 in phpoll_test_band without any administrator session. Database restored to its baseline after the record."
"GT-007","Phpoll","VPE","admin/modifica_configurazione.php","Update","Only an authenticated poll administrator may change poll configuration.","Submit configuration changes as visitor without an administrator session.","runs/phpoll/analysis/findings.json records a visitor POST receiving HTTP 200 without redirect or denial. Manual verification with marker tokens (evidence: ground_truth/audit/phpoll/evidence/GT-007.json): as visitor, POST admin/modifica_configurazione.php returned HTTP 200; phpoll_test_configurazione was truncated and rewritten with attacker-supplied values (oggetto_email changed from token1 to token2), and the regenerated img/barra*.gif files were restored after the test. Database restored to its baseline after the record."
"GT-008","Phpoll","VPE","admin/modifica_votanti.php","Update","Only an authenticated poll administrator may modify voter or voting data.","Submit the voter-management form as visitor without an administrator session.","runs/phpoll/analysis/findings.json records a visitor POST receiving HTTP 200 without redirect or denial. Manual verification with marker token (evidence: ground_truth/audit/phpoll/evidence/GT-008.json): as visitor, POST admin/modifica_votanti.php returned HTTP 200 and deleted the instrumented voter row (id=9, ip=token) from phpoll_test_voti without any administrator session. Database restored to its baseline after the record."
"GT-009","Phpns","VPE","install/index.php","Resource Access / Administrative Action","The installer must be disabled after deployment or restricted to an authenticated administrator.","Request install/index.php without a privileged session.","runs/phpns/analysis/findings.json records HTTP 200 without redirect or denial for the installer. Manual verification (evidence: ground_truth/audit/phpns/evidence/GT-009.json): as visitor, GET install/index.php returned HTTP 200 with the phpns installation wizard (license step, form action index.php?step=1); the response body is archived in the evidence directory. Database restored to its baseline after the record."
"GT-010","Phpns","VPE","article.php?do=comments&id=6","Resource Access","Only a user with the article-edit or comment-moderation privilege may view the comment-management interface for article 6.","Log in with the register account and request the comment-management page for article 6.","runs/phpns/analysis/findings.json records the register actor receiving HTTP 200 without redirect or denial for this page. Manual verification with marker token (evidence: ground_truth/audit/phpns/evidence/GT-010.json): logged in as the low-privilege register account, GET article.php?do=comments&id=6 returned HTTP 200 and the moderation list exposed the token inserted into comment id=5 of article 6. Database restored to its baseline after the record."
