Application,Language,Entity Type,Name,Kind,Source,Files,Start Line,End Line,Rationale,Annotation Occurrences
awcm,php,parameter,$_COOKIE['awcm_member'],identity,request,header.php,,,Cookie storing member ID for 'remember me'; validated against database in header.php lines 52-57.,1
awcm,php,parameter,$_SESSION['awcm_cp'],role,session,control/common.php,,,Control panel authorization session variable; checked in control/common.php line 16 to grant admin panel access.,1
awcm,php,parameter,$_SESSION['awcm_member'],identity,session,header.php,,,Session variable storing authenticated member ID; used as authoritative identity source in header.php line 51.,1
awcm,php,parameter,$member,identity,session,header.php | member.php,,,Represents the current authenticated user ID; sourced from $_SESSION['awcm_member'] or $_COOKIE['awcm_member'] in header.php lines 49-62. | Member identity object. Retrieved by f_find_member(). Used as identity source in authorization conditions.,2
awcm,php,parameter,$member_level,role,session,common.php | header.php | member.php | m_cp_avatar.php,,,"Member role/level determined by f_find_member($member,level) call; used for admin checks in header.php lines 66-73. | Member level/rank. Checked in conditional access gates throughout the member CP.",2
BBS_pro,python,function,acc_login,authentication_check,,app01/views.py,15,27,"Authenticates the submitted credentials, establishes the authenticated session on success, and returns a login-error response on failure.",1
BBS_pro,python,parameter,user,identity,request,app01/views.py,,,Authenticated user object from auth.authenticate(). Checked with if user is not None before granting access (auth.login) or denying (render login page). Core identity parameter.,1
bwapp,php,parameter,$_COOKIE['security_level'],role,cookie,security.php | security_level_check.php | security_level_set.php | admin/index.php | login.php,,,Security level cookie set after login (login.php:103-111) and on security_level_set.php (line 63). Controls which security level (low/medium/high/666) applies to vulnerability pages. The '666' value bypasses all security levels. An authorization-related parameter.,1
bwapp,php,parameter,$_SESSION['admin'],role,session,login.php | security.php,,,Stores the admin flag (0 or 1) set during login from the database 'admin' column. Used in security.php line 40 for AIM mode and represents the user's admin role.,1
bwapp,php,parameter,$_SESSION['login'],identity,session,login.php | security.php | security_level_set.php | portal.php | admin/index.php,,,Stores the authenticated username after successful login. Checked in security.php (line 45: isset($_SESSION['login']) && $_SESSION['login']) to enforce authentication. Displayed in UI headers. Core identity parameter.,1
django_lms,python,function,admin_required,role_check,,accounts/decorators.py,36,48,Decorator that checks the user is active AND is_superuser. Raises Http404 if not.,1
django_lms,python,function,lecturer_required,role_check,,accounts/decorators.py,21,33,Decorator that checks the user is active AND has is_lecturer=True or is_superuser=True. Raises Http404 if not.,1
django_lms,python,function,student_required,role_check,,accounts/decorators.py,6,18,Decorator that checks the user is active AND has is_student=True or is_superuser=True. Raises Http404 if not.,1
django_lms,python,parameter,request.user,identity,session,app/views.py | accounts/decorators.py,,,Django request.user object central to all authentication and role checks in the LMS app.,1
django_lms,python,parameter,request.user.has_perm,permission,method,quiz/views.py,,,Django permission-check method used in a terminating authorization condition.,1
django_lms,python,parameter,request.user.is_active,status,database,accounts/decorators.py,,,"Active-user flag checked inside student_required, lecturer_required, and admin_required decorators before granting role-based access.",1
django_lms,python,parameter,request.user.is_lecturer,role,database,accounts/decorators.py,,,Custom flag checked in lecturer_required decorator to verify user has lecturer role.,1
django_lms,python,parameter,request.user.is_student,role,database,accounts/decorators.py,,,Custom flag checked in student_required decorator to verify user has student role.,1
django_lms,python,parameter,request.user.is_superuser,role,database,accounts/decorators.py,,,Flag checked in admin_required and lecturer_required/student_required decorators as override for full access.,1
djangoblog,python,parameter,Post.status,role,database,blog/views.py,,,"Post status field (0=draft, 1=published). Used as access control: PostList filters to status=1 (published), and PostDetail should restrict draft access to staff users.",1
dvwa,php,function,dvwaPageStartup,authentication_gate,,D:/phpStudy/PHPTutorial/WWW/DVWA/dvwa/includes/dvwaPage.inc.php,132,138,"If called with 'authenticated' action, redirects to login.php if dvwaIsLoggedIn() is false. Used by security.php, about.php, instructions.php, setup.php to protect pages that require authentication.",1
dvwa,php,parameter,dvwaisloggedin,authentication_state,function_call,dvwa/includes/dvwaPage.inc.php | logout.php,,,Represents the authentication-state predicate used by terminating redirect guards such as dvwaPageStartup().,1
events_lister,php,function,checkUser,authorization_check,,admin/common.php,71,75,Authorization guard: redirects to login.php if $_SESSION['validUser'] is not set or is not true. Called from admin pages to protect them.,1
events_lister,php,parameter,$_SESSION['userName'],identity,session,admin/common.php | admin/user_delete.php,,,Authenticated administrator identity stored in the session after login and reused in administrator-sensitive database operations.,1
events_lister,php,parameter,$_SESSION['validUser'],role,session,admin/common.php,,,"Session boolean flag indicating whether the user has authenticated successfully. Set to true after login, checked by checkUser() for protected page access.",1
jsforum,jsp,parameter,type,role,session,.clover/Login.java | .clover/ChangeMessage.java | .clover/DeleteForum.java | .clover/DeleteReply.java | .clover/DeleteThread.java | .clover/ChangeProfile.java,,,"Session attribute set at login (Login.java:67). Used for admin authorization checks: sessionType.equals(""Admin"") in ChangeMessage:41, DeleteForum:27, DeleteReply:29, DeleteThread:27.",1
jsforum,jsp,parameter,user,ownership,database,forum/message.jsp,,,Message author loaded from forum_message.user and compared with sessionUsername to decide whether the current user may edit the message.,1
jsforum,jsp,parameter,username,identity,session,.clover/Login.java | .clover/ChangeMessage.java | .clover/ChangeProfile.java,,,"Session attribute set at login (Login.java:57), used as identity for authorization in ChangeMessage.java:41-53 and ChangeProfile.java:44-52. Core identity parameter throughout the application.",1
jspblog,jsp,parameter,isLoggedIn,identity,session,D:/tomcat9/webapps/blog/admin/auth.jsp | D:/tomcat9/webapps/blog/admin/index2.jsp,,,Session attribute set to 'true' on successful login; checked by auth.jsp to gate admin access.,1
jwablogger,java,parameter,administrator,role,session,D:/tomcat9/webapps/jwablogger/java/jwaBlogger/src/jwaBlogger/webApp/Blogger.java | D:/tomcat9/webapps/jwablogger/java/jwaBlogger/src/jwaBlogger/WebAppInterface.java,,,"Role checked via serverInterface.isUserInRole('administrator') in processViewEntry, processVoteEntry, processSpamEntry, processVoteComment, processSpamComment. Determines elevated privileges for admin operations.",1
jwablogger,java,parameter,trusted,role,session,D:/tomcat9/webapps/jwablogger/java/jwaBlogger/src/jwaBlogger/webApp/Blogger.java | D:/tomcat9/webapps/jwablogger/java/jwaBlogger/src/jwaBlogger/WebAppInterface.java | D:/tomcat9/webapps/jwablogger/java/jwaBlogger/src/jwaBlogger/BlogManager.java,,,"Role obtained through serverInterface.isUserInRole('trusted') and propagated to saveEntry/saveBlogEntry, where it controls trusted-user HTML handling.",1
mybb,php,function,check_forum_password,authorization_gate,,inc/functions.php,1312,1393,Validates the forum-password cookie and propagates the failed decision through $showform to a terminating branch.,1
mybb,php,function,check_forum_password_archive,authorization_gate,,inc/functions_archive.php,225,265,Checks the forum-password cookie and directly invokes the archive denial routine in the rejecting branch.,1
mybb,php,parameter,$admin_session['sid'],authentication_session,,,,,,1
mybb,php,parameter,$allowable_actions,action_policy,,,,,,1
mybb,php,parameter,$announcement['fid'],protected_resource,,,,,,1
mybb,php,parameter,$ban['admin'],role,,,,,,1
mybb,php,parameter,$ban['uid'],identity,,,,,,1
mybb,php,parameter,$calendar_permissions[$calendar['cid']]['canmoderateevents'],permission,,,,,,1
mybb,php,parameter,$calendar_permissions[$calendar['cid']]['canviewcalendar'],permission,,,,,,1
mybb,php,parameter,$calendar_permissions[$mybb->input['new_calendar']]['canviewcalendar'],permission,,,,,,1
mybb,php,parameter,$calendar_permissions['canaddevents'],permission,,,,,,1
mybb,php,parameter,$calendar_permissions['canmoderateevents'],permission,,,,,,1
mybb,php,parameter,$calendar_permissions['canviewcalendar'],permission,,,,,,1
mybb,php,parameter,$destination_user['uid'],identity,,,,,,1
mybb,php,parameter,$event['uid'],owner_identity,,,,,,1
mybb,php,parameter,$event['visible'],resource_visibility,,,,,,1
mybb,php,parameter,$existing_reputation['adduid'],owner_identity,,,,,,1
mybb,php,parameter,$fid,protected_resource,,,,,,1
mybb,php,parameter,$forum['open'],resource_policy,,,,,,1
mybb,php,parameter,$forum_permissions['canview'],permission,,,,,,1
mybb,php,parameter,$forum_permissions['canviewthreads'],permission,,,,,,1
mybb,php,parameter,$forumpermissions['candeleteposts'],permission,,,,,,1
mybb,php,parameter,$forumpermissions['candeletethreads'],permission,,,,,,1
mybb,php,parameter,$forumpermissions['candlattachments'],permission,,,,,,1
mybb,php,parameter,$forumpermissions['caneditposts'],permission,,,,,,1
mybb,php,parameter,$forumpermissions['canonlyviewownthreads'],permission,,,,,,1
mybb,php,parameter,$forumpermissions['canpostpolls'],permission,,,,,,1
mybb,php,parameter,$forumpermissions['canpostreplys'],permission,,,,,,1
mybb,php,parameter,$forumpermissions['canpostthreads'],permission,,,,,,1
mybb,php,parameter,$forumpermissions['canratethreads'],permission,,,,,,1
mybb,php,parameter,$forumpermissions['canview'],permission,,,,,,1
